term,corpus_count,document_frequency,category,rationale
arora,19,19,author_or_person_name,Primarily author surname/name in references.
natu,19,19,ocr_or_tokenisation_artifact,Commonly split from nature/natural or similar words.
ake,19,19,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
merino,19,17,english_or_technical_collision,Breed/material term in English usage.
arangi,18,18,author_or_extraction_collision,High-risk repeated token; requires manual validation before use.
nakai,18,18,author_or_person_name,Primarily author surname in references.
wou,18,18,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aro,18,18,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oke,18,18,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eae,18,18,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uri,18,17,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aia,18,17,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ature,17,17,ocr_or_tokenisation_artifact,Likely fragment of nature/feature/literature.
humana,17,17,publisher_or_journal_name,Likely publisher/journal/name collision.
irani,17,17,author_or_person_name,Primarily author surname/name in references.
keane,17,17,author_or_person_name,Primarily author surname/name in references.
repo,17,17,english_or_technical_collision,English technical shorthand/repository fragment.
romano,17,17,author_or_person_name,Primarily author surname/name in references.
uti,17,17,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
otu,17,15,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kumi,17,11,author_or_extraction_collision,High-risk repeated token; requires manual validation before use.
engineeri,16,16,ocr_or_stemming_fragment,Fragment of engineering.
initio,16,16,latin_or_technical_collision,Occurs in technical phrase ab initio.
kuma,16,16,author_or_person_name,High-risk author/name collision.
materi,16,16,ocr_or_tokenisation_artifact,Likely fragment of material/materials.
naire,16,16,ocr_or_tokenisation_artifact,Likely fragment from ordinary English or names.
reiterate,16,16,english_or_technical_collision,"English verb, not Maori-language use."
huo,16,16,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hei,16,16,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
roa,16,15,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kitao,15,15,author_or_person_name,Primarily author surname in references.
mari,15,15,author_or_name_collision,High-risk name/fragment collision.
morokuma,15,15,author_or_person_name,Primarily author surname in references.
nome,15,15,ocr_or_tokenisation_artifact,Likely fragment of genome/econometric or similar words.
okamoto,15,15,author_or_person_name,Primarily author surname/name in references.
parame,15,15,ocr_or_tokenisation_artifact,Likely fragment of parameter.
ratiu,15,15,author_or_name_collision,High-risk name collision in technical subcorpus.
tare,15,15,author_or_tokenisation_collision,High-risk short name/fragment collision.
toone,15,15,author_or_person_name,Primarily author surname/name in references.
ane,15,15,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ini,15,15,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
awa,15,15,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tae,15,15,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
karimi,15,14,author_or_person_name,Primarily author surname/name in references.
monotone,15,14,english_or_technical_collision,English/mathematical term.
pirie,15,14,author_or_person_name,Primarily author surname/name in references.
pai,15,13,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
whe,15,13,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eea,15,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
emanate,14,14,english_or_technical_collision,"English verb, not Maori-language use."
engi,14,14,ocr_or_tokenisation_artifact,Likely fragment of engineering/engineer.
hume,14,14,author_or_person_name,Primarily author surname/name in references.
kaneko,14,14,author_or_person_name,Primarily author surname/name in references.
miao,14,14,author_or_person_name,Primarily author surname/name in references.
nomura,14,14,author_or_person_name,Primarily author surname/name in references.
ama,14,14,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
apa,14,14,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nui,14,14,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ota,14,14,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ria,14,13,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iia,14,13,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tio,14,13,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nimo,14,12,author_or_extraction_collision,High-risk repeated token; requires manual validation before use.
tatiana,14,12,author_or_person_name,Primarily author/name in references.
moa,14,12,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kitamura,13,13,author_or_person_name,Primarily author surname/name in references.
koike,13,13,author_or_person_name,Primarily author surname/name in references.
merapi,13,13,non_nz_place_or_name,"Indonesian volcano name, not Maori-language use."
pati,13,13,author_or_tokenisation_collision,High-risk name/fragment collision.
pote,13,13,author_or_tokenisation_collision,High-risk name/fragment collision.
tota,13,13,ocr_or_tokenisation_artifact,Likely fragment of total or similar English text.
wherei,13,13,ocr_or_tokenisation_artifact,Joined token from 'where I'.
iee,13,13,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mee,13,13,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ume,13,13,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ote,13,13,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aare,13,12,ocr_or_tokenisation_artifact,Short extraction fragment from technical/English text.
ikea,13,12,english_brand_or_name_collision,"Brand/name collision, not Maori-language use."
materia,13,12,ocr_or_tokenisation_artifact,Likely fragment of material/materials.
nakamoto,13,12,author_or_person_name,Primarily author surname/name in references.
oni,13,12,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
imi,13,12,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
maa,13,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
reina,13,7,author_or_person_name,Primarily author/name collision in references.
amiri,12,12,author_or_person_name,Primarily author surname/name in references.
iterate,12,12,english_or_technical_collision,English technical verb.
nawi,12,12,author_or_name_collision,High-risk name/fragment collision.
renene,12,12,author_or_extraction_collision,High-risk repeated token; requires manual validation.
rui,12,12,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
koo,12,12,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iai,12,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ika,12,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
akimoto,12,6,author_or_person_name,Primarily author surname/name in references.
amari,11,11,author_or_person_name,Primarily author surname in references.
roo,11,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nea,11,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tii,11,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wha,11,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eru,11,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oti,11,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iie,11,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uwe,11,11,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iiia,11,10,acronym_or_fragment,Acronym/fragment in technical text.
uto,11,10,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
imine,11,9,ocr_or_tokenisation_artifact,Short extraction fragment.
oraee,11,9,author_or_person_name,Primarily author surname/name in references.
weka,11,7,software_or_acronym,Usually Waikato Environment for Knowledge Analysis software/acronym.
amaro,10,10,author_or_person_name,Primarily author/name collision in references.
wui,10,10,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ooi,10,10,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
umi,10,10,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aki,10,10,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eri,10,10,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
toi,10,10,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uoa,10,10,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iae,10,10,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
wea,10,9,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kei,10,9,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
poa,10,9,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oai,9,9,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ipa,9,9,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ero,9,9,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eha,9,9,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uwa,9,9,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
taa,9,9,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pou,9,8,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ako,9,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
tui,9,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kee,8,8,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kua,8,8,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nia,8,8,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hau,8,8,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ema,8,8,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
umu,8,8,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
poi,8,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uwu,8,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iki,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ino,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
peo,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mou,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aii,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
āti,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
heo,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oru,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hue,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eui,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
onu,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ahu,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ioe,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
owo,7,7,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nao,7,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iou,7,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
unu,7,4,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
mua,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
reo,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aai,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ewi,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
kii,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iri,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eoi,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nai,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
eee,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
rau,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ohi,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aie,6,6,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
aeo,5,5,ocr_or_tokenisation_artifact,Short extraction fragment.
ike,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
rou,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
pio,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
nou,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ohe,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
rua,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
paa,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
amu,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
poo,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
hoi,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oka,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
enu,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
reu,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
ipi,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
uta,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
iwe,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
oto,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
noa,5,5,short_fragment_or_highly_ambiguous_token,"Excluded by conservative Phase 2 rule for one-, two-, and three-character unvalidated tokens."
